一  yī
谷	gǔ
豆	dòu
豕	shǐ
贝	bèi
赤	chì
走	zǒu
足	zú
身	shēn
车	chē
辛	xīn
辰	chén
迂	yū
迆	yǐ
迅	xùn
迄	qì
巡	xún
邑	yì
邢	xíng
邪	xié
邦	bāng
那	nǎ
酉	yǒu
采	biàn
里	lǐ
防	fáng
阮	ruǎn
阱	jǐng
阪	bǎn
坑	kēng
并	bìng
乖	guāi
乳	rǔ
事	shì
些	xiē
亚	yà
享	xiǎng
京	jīng
佯	yáng
依	yī
侍	shì
佳	jiā
使	shǐ
佬	lǎo
供	gōng
例	lì
来	lái
侃	kǎn
佰	bǎi
并	bìng
侈	chǐ
佩	pèi
佻	tiáo
仑	lún
佾	yì
侏	zhū
侑	yòu
全	quán
兔	tù
儿	ér
兕	sì
两	liǎng
具	jù
其	qí
典	diǎn
冽	liè
函	hán
刻	kè
券	quàn
刷	shuā
刺	cì
到	dào
刮	guā
制	zhì
剁	duò
劾	hé
匡	kuāng
卒	zú
协	xié
卓	zhuó
卑	bēi
卦	guà
卷	juǎn
卸	xiè
恤	xù
取	qǔ
叔	shú
受	shòu
味	wèi
呵	hē
咖	kā
呸	pēi
咕	gū
咀	jǔ
呻	shēn
呷	xiá
咄	duò
咒	zhòu
咆	páo
呼	hū
咐	fù
呱	guā
呶	náo
和	hé
咚	dōng
呢	ne
周	zhōu
咋	zhà
命	mìng
咎	jiù
固	gù
垃	là
坷	kě
坪	píng
坩	gān
坡	pō
坦	tǎn
坤	kūn
坼	chè
夜	yè
奉	fèng
奇	qí
奈	nài
奄	yān
奔	bēn
妾	qiè
妻	qī
委	wěi
妹	mèi
妮	ní
姑	gū
姆	mǔ
姐	jiě
姗	shān
始	shǐ
姓	xìng
姊	zǐ
妯	zhóu
你	nǐ
姒	sì
伴	bàn
孟	mèng
孤	gū
季	jì
宗	zōng
定	dìng
官	guān
宜	yí
宙	zhòu
宛	wǎn
尚	shàng
屈	qū
居	jū
届	jiè
岷	mín
冈	gāng
岸	àn
岩	yán
岫	xiù
岱	dài
岳	yuè
帘	lián
帚	zhǒu
帖	tiě
帕	pà
帛	bó
帑	tǎng
幸	xìng
庚	gēng
店	diàn
府	fǔ
底	dǐ
庖	páo
延	yán
弦	xián
弧	hú
弩	nǔ
往	wǎng
征	zhēng
佛	fú
彼	bǐ
忝	tiǎn
忠	zhōng
忽	hū
念	niàn
忿	fèn
怏	yàng
怔	zhēng
怯	qiè
怵	chù
怖	bù
怪	guài
怕	pà
怡	yí
性	xìng
怩	ní
怫	fú
怛	dá
或	huò
戕	qiáng
房	fáng
戾	lì
所	suǒ
承	chéng
拉	lā
拌	bàn
拄	zhǔ
抿	mǐn
拂	fú
抹	mǒ
拒	jù
招	zhāo
披	pī
拓	tuò
拔	bá
抛	pāo
拈	niǎn
抨	pēng
抽	chōu
押	yā
拐	guǎi
拙	zhuó
拇	mǔ
拍	pāi
抵	dǐ
拚	pàn
抱	bào
拘	jū
拖	tuō
拗	ǎo
拆	chāi
抬	tái
拎	līng
放	fàng
斧	fǔ
於	yú
旺	wàng
昔	xí
易	yì
昌	chāng
昆	kūn
昂	áng
明	míng
昀	yún
昏	hūn
昕	xīn
昊	hào
升	shēng
服	fú
朋	péng
杭	háng
枋	fāng
枕	zhěn
东	dōng
果	guǒ
杳	yǎo
杷	pa
枇	pí
枝	zhī
林	lín
杯	bēi
杰	jié
板	bǎn
枉	wǎng
松	sōng
析	xī
杵	chǔ
枚	méi
斗	dǒu
杼	zhù
杪	miǎo
杲	gǎo
欣	xīn
武	wǔ
歧	qí
殁	mò
氓	máng
氛	fēn
泣	qì
注	zhù
泳	yǒng
